1 1 1 1 2
2 2 2 3 3
3 3 4 4 4
4 1000 1000 1000 1000
1000 1000 1000 1000 1000
1000 1000 1000 1000 1000
1000 1000 1 1 1
1 1 1 1 1
1 1 1 1 1
1 1 1 100 120
140 160 100 120 140
160 100 120 140 160
100 120 140 160 0.000790322
0.000791719 0.0007714933 0.0008332969 0.0008163575 0.0008024869
0.0007757618 0.0008287729 0.0007847574 0.0007850309 0.0007894959
0.0008096062 0.0008020682 0.0008051872 0.000795187 0.000824225
0.0006776028 0.0006819055 0.000668457 0.00074986 0.0007093351
0.0006909694 0.0006716929 0.0007476666 0.0006752652 0.0006782597
0.0006875643 0.0007254934 0.0006965306 0.0007011141 0.0006922437
0.0007388117
